Date,Open,High,Low,Close,Adj Close,Volume
1999-01-22,0.4375,0.488281,0.388021,0.410156,0.376518,271468800
1999-01-25,0.442708,0.458333,0.410156,0.453125,0.415963,51048000
1999-01-26,0.458333,0.467448,0.411458,0.417969,0.38369,34320000
1999-01-27,0.419271,0.429688,0.395833,0.416667,0.382495,24436800
1999-01-28,0.416667,0.419271,0.41276,0.415365,0.3813,22752000
1999-01-29,0.415365,0.416667,0.395833,0.395833,0.36337,24403200
1999-02-01,0.395833,0.40625,0.395833,0.403646,0.370542,15470400
1999-02-02,0.395833,0.40625,0.360677,0.372396,0.341855,26409600
1999-02-03,0.367188,0.385417,0.364583,0.380208,0.349026,7512000
1999-02-04,0.385417,0.411458,0.380208,0.401042,0.368151,18192000
1999-02-05,0.407552,0.416667,0.397135,0.41276,0.378908,13684800
1999-02-08,0.415365,0.416667,0.398438,0.398438,0.365761,15408000
1999-02-09,0.40625,0.408854,0.377604,0.382813,0.351417,8697600
1999-02-10,0.382813,0.393229,0.372396,0.378906,0.347831,14822400
1999-02-11,0.380208,0.427083,0.380208,0.411458,0.377713,13224000
1999-02-12,0.416667,0.4375,0.416667,0.434896,0.399229,10972800
1999-02-16,0.442708,0.460938,0.393229,0.4375,0.401619,21100800
1999-02-17,0.427083,0.432292,0.40625,0.414063,0.380105,6772800
1999-02-18,0.427083,0.432292,0.408854,0.420573,0.386081,7070400
1999-02-19,0.416667,0.442708,0.411458,0.434896,0.399229,7536000
1999-02-22,0.442708,0.447917,0.414063,0.4375,0.401619,20524800
1999-02-23,0.447917,0.467448,0.421875,0.458333,0.420744,13809600
1999-02-24,0.526042,0.546875,0.483073,0.494792,0.454213,61276800
1999-02-25,0.515625,0.53125,0.471354,0.479167,0.439869,14913600
1999-02-26,0.484375,0.5,0.453125,0.457031,0.419548,17260800
1999-03-01,0.46875,0.479167,0.4375,0.459635,0.421939,9216000
1999-03-02,0.458333,0.460938,0.447917,0.455729,0.418353,5524800
1999-03-03,0.458333,0.458333,0.421875,0.424479,0.389666,6139200
1999-03-04,0.445313,0.447917,0.411458,0.415365,0.3813,5736000
1999-03-05,0.419271,0.440104,0.419271,0.438802,0.402815,7876800
1999-03-08,0.427083,0.458333,0.419271,0.445313,0.408792,7588800
1999-03-09,0.44401,0.466146,0.44401,0.459635,0.421939,14318400
1999-03-10,0.466146,0.466146,0.445313,0.451823,0.414768,23534400
1999-03-11,0.44401,0.451823,0.432292,0.432292,0.396838,5428800
1999-03-12,0.434896,0.434896,0.416667,0.424479,0.389666,9076800
1999-03-15,0.434896,0.447917,0.432292,0.442708,0.4064,10881600
1999-03-16,0.445313,0.450521,0.424479,0.428385,0.393252,7915200
1999-03-17,0.432292,0.440104,0.420573,0.43099,0.395643,5136000
1999-03-18,0.432292,0.442708,0.421875,0.436198,0.400424,4632000
1999-03-19,0.434896,0.450521,0.434896,0.4375,0.401619,10531200
1999-03-22,0.446615,0.447917,0.424479,0.424479,0.389666,3667200
1999-03-23,0.427083,0.427083,0.390625,0.398438,0.365761,16396800
1999-03-24,0.395833,0.398438,0.380208,0.395833,0.36337,6086400
1999-03-25,0.394531,0.416667,0.393229,0.401042,0.368151,4032000
1999-03-26,0.40625,0.4375,0.40625,0.436198,0.400424,8827200
1999-03-29,0.449219,0.459635,0.441406,0.449219,0.412377,6595200
1999-03-30,0.450521,0.454427,0.408854,0.411458,0.377713,6950400
1999-03-31,0.424479,0.445313,0.404948,0.440104,0.40401,15360000
1999-04-01,0.440104,0.442708,0.419271,0.427083,0.392057,3043200
1999-04-05,0.421875,0.432292,0.411458,0.414063,0.380105,9864000
1999-04-06,0.417969,0.419271,0.395833,0.403646,0.370542,6969600
1999-04-07,0.40625,0.440104,0.403646,0.4375,0.401619,8928000
1999-04-08,0.440104,0.458333,0.434896,0.445313,0.408792,13012800
1999-04-09,0.447917,0.447917,0.434896,0.4375,0.401619,4862400
1999-04-12,0.432292,0.432292,0.411458,0.419271,0.384885,3331200
1999-04-13,0.427083,0.427083,0.395833,0.402344,0.369347,3614400
1999-04-14,0.401042,0.410156,0.390625,0.390625,0.358589,4828800
1999-04-15,0.401042,0.401042,0.390625,0.401042,0.368151,3585600
1999-04-16,0.398438,0.420573,0.398438,0.414063,0.380105,3892800
1999-04-19,0.419271,0.419271,0.390625,0.395833,0.36337,3129600
1999-04-20,0.395833,0.411458,0.384115,0.388021,0.356198,6768000
1999-04-21,0.388021,0.395833,0.385417,0.394531,0.362174,3748800
1999-04-22,0.395833,0.395833,0.373698,0.377604,0.346636,22718400
